id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_dokter_spesialis,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,664,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,90,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,63,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,49,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,139,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,67,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,48,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,28,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,447,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,401,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,556,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,141,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,1084,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,123,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,336,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,521,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,181,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,179,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,37,ORANG,2016
